,temperature,rain_1h,snow_1h,clouds_percentage,date_time,binary_holiday,population_density
6763,295.18,7.97,0.0,90,2,0,319
2332,294.28,0.0,0.0,75,19,0,3458
19170,287.75,0.0,0.0,90,14,0,5087
22895,295.6,0.0,0.0,75,1,0,408
40185,274.65,0.0,0.0,90,23,0,3089
9940,257.44,0.0,0.0,1,6,0,1159
5546,268.04,0.0,0.0,40,7,0,1972
21862,287.64,0.0,0.0,0,7,0,6651
2254,293.72,0.0,0.0,1,17,0,5703
15372,296.76,0.25,0.0,90,16,0,4017
42832,285.83,0.0,0.0,92,20,0,2801
17975,266.09,0.0,0.0,90,21,0,2046
35813,296.92,0.0,0.0,0,11,0,4796
19490,289.47,0.0,0.0,90,8,0,5805
39930,274.04,0.0,0.0,90,1,0,296
8858,275.86,0.0,0.0,20,13,0,4952
10050,278.21,0.0,0.0,90,11,0,4208
8420,290.54,0.0,0.0,0,6,0,5424
42498,296.82,0.0,0.0,1,0,0,755
18211,272.55,0.0,0.0,90,6,0,5526
22265,292.96,0.52,0.0,36,21,0,2413
29344,292.57,0.0,0.0,1,9,0,5122
40976,289.81,0.0,0.0,92,23,0,791
31626,269.74,0.0,0.0,90,5,0,456
3402,271.22,0.0,0.0,90,17,0,1379
26114,278.75,0.0,0.0,90,2,0,361
42383,248.27,0.0,0.0,40,4,0,689
18643,295.47,0.0,0.0,75,0,0,1426
27096,290.79,0.0,0.0,75,13,0,4911
40671,274.62,0.0,0.0,90,1,0,657
36773,299.2,0.25,0.0,8,13,0,4990
968,272.08,0.0,0.0,1,13,0,4426
21757,266.15,0.0,0.0,75,11,0,3967
22794,269.93,0.0,0.0,90,10,0,3505
5366,298.15,0.0,0.0,0,17,0,5508
32114,267.29,0.0,0.0,90,5,0,2601
5420,279.0,0.0,0.0,90,18,0,3243
10845,251.15,0.0,0.0,90,6,0,606
39140,273.95,0.0,0.0,90,10,0,4320
39028,263.69,0.0,0.0,1,1,0,733
9298,273.74,0.0,0.13,90,16,0,6438
37049,276.88,0.0,0.0,1,3,0,341
23088,286.53,0.0,0.0,12,15,0,4440
25418,295.72,0.0,0.0,44,20,0,3002
11487,247.15,0.0,0.0,40,16,0,4228
36422,289.14,0.0,0.0,75,10,0,4625
22329,289.47,7.11,0.0,92,3,0,386
39229,294.68,4.38,0.0,90,21,0,3039
27262,290.5,0.0,0.0,1,11,0,4232
30290,293.15,1.27,0.0,92,13,0,4861
28342,282.59,0.0,0.0,90,5,0,377
729,267.76,0.0,0.0,1,12,0,4749
19156,279.15,0.0,0.0,75,13,0,5240
19833,298.08,0.0,0.0,1,4,0,455
43190,291.44,0.0,0.0,1,3,0,343
8918,291.21,0.0,0.0,90,8,0,6369
25426,298.08,0.0,0.0,5,20,0,2995
22406,291.15,0.0,0.0,90,3,0,376
35034,296.8,0.0,0.0,1,15,0,5555
8696,280.15,0.0,0.0,20,12,0,5401
27151,290.22,0.0,0.0,90,21,0,2545
9982,292.8,0.0,0.0,1,21,0,2615
37712,274.13,0.0,0.0,90,14,0,5522
9015,270.43,0.0,0.0,75,8,0,5863
17667,254.9,0.0,0.0,90,4,0,270
21,276.46,0.0,0.0,90,7,0,5697
42310,268.15,0.0,0.0,5,21,0,3011
18851,291.628,0.0,0.0,88,2,0,547
27790,296.36,0.0,0.0,1,0,0,1489
10541,293.2,0.0,0.0,1,20,0,3173
10462,259.79,0.0,0.0,64,17,0,5917
7752,292.42,0.0,0.0,90,4,0,930
1650,264.3,0.0,0.0,5,21,0,1939
23376,299.22,0.0,0.0,1,22,0,2886
35313,275.87,0.0,0.0,64,22,0,1450
34260,289.44,0.51,0.0,90,20,0,2890
14532,290.09,0.0,0.0,75,23,0,1423
29040,296.68,0.25,0.0,40,23,0,2147
40592,299.86,0.0,0.0,1,1,0,949
32385,270.93,0.0,0.0,90,8,0,5707
1229,265.69,0.0,0.0,90,13,0,4784
6451,270.08,0.0,0.0,90,17,0,5883
5294,279.09,0.0,0.0,90,13,0,4875
8631,301.72,0.0,0.0,1,19,0,4023
16963,275.46,0.0,0.0,90,12,0,4876
35739,293.12,0.0,0.0,0,4,0,809
21300,297.0,1.78,0.0,75,8,0,6125
16995,291.84,0.0,0.0,1,6,0,5111
34267,296.8,0.0,0.0,75,8,0,5813
1459,274.88,0.0,0.0,90,22,0,3699
33709,269.08,0.0,0.0,90,8,0,2639
20856,265.99,0.0,0.0,1,1,0,325
1524,295.15,0.0,0.0,1,10,0,3962
9340,302.09,0.0,0.0,1,19,0,3567
9728,269.04,0.0,0.0,75,20,0,2590
28565,287.1,4.32,0.0,92,1,0,721
39198,257.44,0.0,0.0,1,8,0,3018
4256,282.15,0.0,0.0,1,14,0,5045
36691,294.41,0.0,0.0,1,23,0,1505
4334,293.4,0.0,0.0,75,21,0,3206
24390,282.78,0.0,0.0,40,3,0,357
10663,282.27,0.0,0.0,20,7,0,6845
42213,293.44,0.0,0.0,75,19,0,3462
14503,291.67,0.0,0.0,40,11,0,4711
20209,298.28,0.0,0.0,90,20,0,2874
12052,294.18,0.0,0.0,1,0,0,1710
18330,273.02,0.0,0.0,90,19,0,3075
11219,276.02,0.0,0.0,90,14,0,5083
2162,269.48,0.0,0.0,90,15,0,4922
2662,293.08,0.0,0.0,1,8,0,2428
21704,290.7,0.0,0.0,80,10,0,4393
22468,279.22,0.0,0.0,90,18,0,4550
7302,293.46,0.0,0.0,0,12,0,5242
25514,285.93,0.0,0.0,75,19,0,3325
16841,270.62,0.0,0.0,1,14,0,5237
7078,270.307,0.0,0.0,12,10,0,4366
42712,273.95,0.0,0.0,90,23,0,903
41817,301.55,0.0,0.0,40,19,0,3647
41493,265.79,0.0,0.0,20,18,0,3532
31610,250.4,0.0,0.0,1,1,0,419
11670,288.78,0.0,0.0,1,3,0,508
39410,303.3,0.0,0.0,75,18,0,3665
37772,269.38,0.0,0.0,64,13,0,3157
42191,271.65,0.0,0.0,90,15,0,6453
37388,295.0,0.0,0.0,90,0,0,1341
6753,268.89,0.0,0.0,90,10,0,4384
23413,272.01,0.0,0.0,90,1,0,439
35823,274.96,0.0,0.0,90,22,0,2316
5666,300.42,0.0,0.0,40,19,0,3353
41369,275.02,0.0,0.0,90,21,0,3442
23778,302.76,0.0,0.0,40,17,0,6234
3582,275.01,0.0,0.0,1,1,0,868
1817,285.62,0.0,0.0,1,22,0,1695
9926,286.63,0.0,0.0,92,2,0,273
23359,276.08,0.0,0.0,90,17,0,5687
14293,269.06,0.0,0.0,64,7,0,1482
42532,281.03,0.0,0.0,90,3,0,383
35653,286.08,0.0,0.0,1,6,0,1526
1327,273.51,0.0,0.0,1,0,0,1324
34521,291.69,0.51,0.0,90,21,0,2422
35341,291.72,0.0,0.0,5,9,0,3922
2236,285.72,0.0,0.0,75,17,0,6324
34558,273.53,0.0,0.0,75,21,0,2616
29516,293.07,0.0,0.0,75,8,0,2958
772,286.94,0.0,0.0,1,17,0,5937
25762,299.01,3.81,0.0,0,14,0,5697
20795,272.07,0.51,0.0,90,10,0,3148
43363,282.41,0.0,0.0,1,3,0,336
35914,298.83,1.78,0.0,75,14,0,4565
17712,271.28,0.0,0.0,90,4,0,896
29213,276.15,0.0,0.0,75,3,0,368
35441,275.22,0.0,0.0,75,2,0,254
16980,292.67,2.83,0.0,75,20,0,2830
16713,266.87,0.0,0.0,1,0,0,1578
19080,269.65,0.0,0.0,1,2,0,312
2211,270.75,0.0,0.0,40,20,0,2964
11275,293.25,0.0,0.0,12,11,0,4308
2497,273.9,0.0,0.0,90,0,0,1460
30193,273.13,0.0,0.0,90,11,0,4033
21233,294.61,0.0,0.0,75,5,0,529
20025,285.03,0.0,0.0,1,23,0,1121
37846,254.84,0.0,0.0,98,18,0,4334
41640,270.55,0.0,0.0,90,4,0,360
6281,270.25,0.0,0.0,90,10,0,4438
26522,281.08,0.0,0.0,90,12,0,4896
2745,262.35,0.0,0.0,1,0,0,1854
21960,257.68,0.0,0.0,90,11,0,4217
39044,288.01,0.0,0.0,1,20,0,2407
38804,260.86,0.0,0.0,90,1,0,353
11666,296.5,0.0,0.0,75,18,0,4603
15154,280.17,0.0,0.0,90,6,0,5555
11320,278.73,0.51,0.0,90,16,0,6554
8063,289.58,0.0,0.0,1,12,0,4657
35939,284.08,0.0,0.0,40,21,0,2580
18115,275.06,0.76,0.0,64,16,0,6236
12303,284.36,0.0,0.0,1,10,0,4562
21130,260.55,0.0,0.0,90,9,0,3983
7242,282.43,0.0,0.0,57,9,0,2685
29293,249.51,0.0,0.0,88,3,0,338
35448,291.62,0.0,0.0,40,23,0,1142
27383,289.41,0.25,0.0,90,5,0,547
6672,273.61,0.0,0.0,90,19,0,3181
4408,279.22,0.0,0.0,1,5,0,2970
39624,285.93,0.38,0.0,92,23,0,1293
8266,272.44,0.0,0.0,1,0,0,837
9945,269.43,0.0,0.0,90,21,0,2809
23558,273.88,0.0,0.0,1,0,0,518
34890,279.03,0.0,0.0,90,11,0,4540
34411,287.93,0.0,0.0,90,19,0,3365
40334,283.23,0.0,0.0,40,18,0,4031
1597,275.12,0.0,0.0,90,0,0,661
25186,295.3,0.0,0.0,1,23,0,1852
24215,273.42,0.0,0.0,90,8,0,5826
4613,301.62,0.0,0.0,20,19,0,2886
25468,262.29,0.0,0.0,90,22,0,2837
19577,269.35,0.0,0.0,64,16,0,5135
28056,292.5,0.0,0.0,75,8,0,5135
21139,295.1,0.0,0.0,1,22,0,2863
19748,273.65,0.0,0.0,1,4,0,835
466,297.92,0.0,0.0,75,19,0,3694
17682,284.79,0.0,0.0,75,10,0,4455
31395,266.6,0.0,0.0,75,21,0,2079
16139,289.69,2.03,0.0,90,13,0,4830
10217,257.44,0.0,0.0,64,3,0,354
38763,270.22,0.0,0.0,1,2,0,220
9957,297.82,0.0,0.0,5,21,0,2727
29056,260.08,0.0,0.0,90,8,0,3346
1708,287.4,0.0,0.0,1,1,0,690
7829,284.99,0.0,0.0,1,1,0,859
32901,280.82,0.0,0.0,85,5,0,2606
25881,279.68,0.0,0.0,1,16,0,6789
16935,291.7,0.0,0.0,1,3,0,321
6135,257.93,0.0,0.0,1,1,0,325
2494,286.37,0.0,0.0,90,8,0,1700
1578,274.29,0.0,0.0,1,8,0,2131
23726,285.65,0.0,0.0,1,4,0,934
13629,259.14,0.0,0.0,1,21,0,2185
15824,247.13,0.0,0.0,1,4,0,744
1334,289.44,0.0,0.0,1,0,0,1468
37020,281.69,0.0,0.0,90,0,0,667
27965,272.21,0.0,0.0,1,8,0,6470
9669,289.35,0.0,0.0,90,5,0,557
22534,292.2,0.0,0.0,1,5,0,283
11544,274.72,0.0,0.0,90,20,0,2546
6323,292.38,0.0,0.0,1,13,0,4482
19351,265.8,0.0,0.0,75,22,0,1482
19739,293.17,0.0,0.0,90,14,0,4663
33082,295.08,0.0,0.0,1,2,0,689
23646,284.14,0.0,0.0,1,1,0,373
28899,292.15,0.0,0.0,1,4,0,945
1448,294.72,0.0,0.0,1,11,0,4532
22994,294.29,0.0,0.0,1,23,0,1755
16509,294.94,1.02,0.0,75,13,0,4585
20506,288.84,0.34,0.0,90,13,0,4675
26196,295.74,0.0,0.0,1,21,0,2175
7260,280.15,0.0,0.0,90,19,0,3222
24111,275.09,0.0,0.0,1,1,0,413
25477,281.69,0.0,0.0,90,23,0,2144
12835,274.57,0.0,0.0,75,20,0,2985
5425,293.7,4.05,0.0,92,18,0,4002
30568,283.62,0.0,0.0,1,3,0,410
2983,288.38,0.0,0.0,1,6,0,5759
40303,277.75,0.0,0.0,90,0,0,559
9657,276.61,0.0,0.0,1,9,0,3854
1291,275.06,0.25,0.0,64,21,0,1714
21070,284.3,0.0,0.0,1,4,0,764
16946,263.64,0.0,0.0,1,12,0,5122
16306,262.01,0.0,0.0,90,23,0,1700
10985,290.18,0.93,0.0,90,11,0,4678
14578,291.89,5.59,0.0,90,5,0,637
42821,272.22,0.0,0.0,1,13,0,5313
4561,251.99,0.0,0.0,5,11,0,4288
12285,288.46,0.0,0.0,75,15,0,3068
32094,280.68,0.0,0.0,90,20,0,2826
12453,272.15,0.0,0.0,1,6,0,5847
1477,286.3,0.0,0.0,90,23,0,1863
42947,290.75,0.51,0.0,90,8,0,5940
18157,272.93,0.0,0.0,90,11,0,4552
17738,297.69,0.0,0.0,75,22,0,1908
6613,276.02,0.0,0.0,40,5,0,2721
30882,277.18,0.83,0.0,64,13,0,3997
2965,306.39,0.0,0.0,0,17,0,5627
20155,293.67,0.0,0.0,48,3,0,322
41398,271.9,0.0,0.0,90,21,0,4103
7327,296.61,0.0,0.0,90,17,0,6039
4781,261.41,0.0,0.0,90,1,0,757
21637,297.38,1.52,0.0,1,3,0,310
4474,276.95,0.0,0.0,1,6,0,1130
28887,302.75,0.0,0.0,75,18,0,4648
4878,297.66,0.0,0.0,90,11,0,3994
2928,295.3,0.0,0.0,40,1,0,367
21345,300.53,0.25,0.0,36,17,0,5918
25240,288.36,0.0,0.0,90,12,0,4982
3727,280.22,0.0,0.0,90,10,0,4636
18735,269.51,0.0,0.0,90,16,0,1461
35703,261.72,0.0,0.0,1,3,0,313
7158,292.21,0.0,0.0,90,16,0,6578
5653,300.63,0.0,0.0,40,14,0,5056
37233,286.372,0.0,0.0,0,13,0,5351
39908,277.02,0.0,0.0,90,5,0,2683
32518,294.49,0.25,0.0,90,22,0,1588
10116,290.28,0.0,0.0,0,9,0,2732
23591,289.0,0.0,0.0,90,11,0,4260
27606,285.93,0.0,0.0,75,4,0,868
16880,273.4,0.0,0.0,90,7,0,1057
39760,267.22,0.0,0.0,90,15,0,4404
26367,285.29,0.0,0.0,90,8,0,6303
35847,258.29,0.0,0.0,75,13,0,5378
1483,273.807,0.0,0.0,0,5,0,854
2903,255.22,0.0,0.0,90,10,0,3746
1748,289.68,0.0,0.0,76,15,0,4787
25921,274.43,0.0,0.0,90,4,0,847
10424,266.48,0.0,0.0,40,16,0,6231
22220,275.44,0.0,0.0,90,8,0,5882
12003,276.28,0.0,0.0,90,2,0,588
11229,258.69,0.0,0.0,64,21,0,2723
4069,267.72,0.0,0.0,1,19,0,2880
14539,283.43,0.0,0.0,90,0,0,676
19613,279.02,0.0,0.0,1,6,0,1355
28084,291.15,0.0,0.0,1,5,0,2919
10091,271.79,0.0,0.0,90,18,0,4332
38362,283.43,0.0,0.0,90,20,0,2644
38279,285.26,0.0,0.0,40,0,0,654
41416,280.02,0.0,0.0,90,1,0,304
42519,291.57,0.0,0.0,40,1,0,813
16492,281.9,0.0,0.0,40,23,0,992
31040,299.31,0.0,0.0,1,19,0,3577
29088,274.08,0.0,0.0,90,8,0,5619
7634,258.05,0.0,0.0,64,4,0,807
13544,299.55,0.0,0.0,1,15,0,5863
9608,296.22,0.0,0.0,1,10,0,4254
40108,274.15,0.0,0.0,90,23,0,877
10006,299.59,0.0,0.0,1,18,0,3482
11625,295.02,0.0,0.0,40,1,0,417
38640,286.23,1.21,0.0,90,12,0,5292
36611,265.16,0.0,0.0,90,16,0,6142
42088,289.66,0.51,0.0,92,11,0,4861
21844,284.66,0.0,0.0,56,19,0,3984
20006,298.49,0.0,0.0,1,3,0,391
23114,274.68,0.0,0.0,90,11,0,4522
11574,304.62,0.0,0.0,1,20,0,3235
8996,286.51,0.0,0.0,1,1,0,378
17989,269.74,0.0,0.0,90,12,0,4600
33613,278.92,0.0,0.0,1,3,0,411
30842,273.01,0.0,0.0,90,0,0,456
24442,288.87,0.0,0.0,0,3,0,384
5927,265.08,0.0,0.0,75,4,0,835
6273,274.35,0.0,0.0,90,9,0,5142
1269,250.38,0.0,0.0,1,6,0,4801
34291,281.76,0.0,0.0,75,8,0,5825
22218,259.76,0.0,0.0,90,9,0,5023
13248,291.74,0.0,0.0,75,20,0,3023
41353,256.8,0.0,0.0,90,7,0,962
9343,276.48,0.0,0.0,1,8,0,3622
36507,273.28,0.0,0.0,90,22,0,2648
37723,286.53,0.0,0.0,40,16,0,6521
500,259.22,0.0,0.0,5,17,0,4572
35564,266.5,0.0,0.0,5,16,0,4678
17937,292.02,0.0,0.0,1,4,0,813
18763,295.42,0.0,0.0,75,15,0,5596
29017,287.75,0.0,0.0,1,7,0,2062
15476,274.82,0.0,0.0,40,6,0,5614
6178,267.92,0.0,0.0,90,2,0,198
4187,258.09,0.0,0.0,90,2,0,279
37092,287.22,0.0,0.0,1,6,0,5885
11213,267.53,0.0,0.0,90,2,0,245
7977,282.82,0.0,0.0,90,15,0,6134
18408,281.95,0.0,0.0,90,18,0,5159
3753,273.95,0.0,0.0,75,10,0,4348
6217,272.49,0.0,0.0,40,21,0,3331
32116,294.55,0.0,0.0,90,8,0,3009
6409,270.53,0.0,0.0,1,4,0,950
5465,271.0,0.0,0.0,1,10,0,4687
27958,290.75,0.0,0.0,1,4,0,923
16239,293.03,0.0,0.0,40,8,0,5987
35483,291.58,0.0,0.0,24,6,0,6247
8184,297.42,0.0,0.0,12,0,1,661
4770,291.94,0.44,0.0,75,22,0,1700
25351,273.37,0.0,0.0,1,15,0,6001
10151,301.02,0.0,0.0,32,16,0,6056
27749,287.64,0.0,0.0,1,6,0,4240
42205,295.96,0.0,0.0,75,20,0,2608
24720,274.57,0.0,0.0,90,13,0,4986
26293,273.84,0.0,0.0,1,9,0,5252
31444,297.1,0.0,0.0,0,12,0,5815
9649,275.36,0.0,0.0,1,1,0,371
34658,270.79,0.0,0.0,90,6,0,1402
13951,279.68,0.0,0.0,40,12,0,4299
13883,276.28,0.0,0.0,90,0,0,705
15825,266.61,0.0,0.0,1,4,0,807
18734,289.23,0.0,0.0,20,22,0,1771
42340,279.87,0.0,0.0,90,1,0,922
37967,275.69,0.0,0.0,40,2,0,340
38339,264.76,0.0,0.0,90,2,0,586
19318,301.36,0.25,0.0,1,19,0,3518
14314,294.78,0.69,0.0,90,10,0,4403
42621,294.5,0.0,0.0,40,23,0,1980
20547,276.82,0.0,0.0,75,5,0,2428
36942,274.74,0.0,0.0,90,0,0,508
25049,283.94,0.0,0.0,40,13,0,4984
25720,294.61,0.0,0.0,1,0,0,1633
8885,296.93,0.0,0.0,90,14,0,5036
23996,269.15,0.0,0.0,1,3,0,350
37217,281.15,0.0,0.0,1,14,0,5338
35600,290.58,0.0,0.0,90,8,0,6123
40299,294.14,0.0,0.0,76,22,0,2230
2656,268.3,0.0,0.0,1,1,0,938
14205,299.44,0.0,0.0,1,14,0,5290
4730,291.31,0.0,0.0,90,14,0,4975
31157,290.98,0.0,0.0,1,23,0,1270
11763,266.84,0.0,0.0,90,2,0,545
4425,274.36,0.0,0.0,20,5,0,817
41905,279.3,0.0,0.0,1,6,0,5825
43135,295.87,0.0,0.0,64,13,0,5334
32206,258.29,0.0,0.0,1,2,0,230
31738,283.63,0.25,0.0,90,14,0,4941
15746,285.21,0.0,0.0,1,0,0,648
18215,283.29,0.0,0.0,75,15,0,5801
27081,293.78,0.0,0.0,40,16,0,4644
3626,293.72,0.0,0.0,75,12,0,4143
30209,274.23,0.0,0.0,1,6,0,5570
13503,279.83,0.0,0.0,56,12,0,4278
25877,273.01,0.0,0.0,90,20,0,3283
11312,288.37,0.0,0.0,5,20,0,2965
33127,273.0,0.0,0.0,90,17,0,6047
29061,255.0,0.0,0.0,40,18,0,4611
33927,277.29,0.0,0.0,48,13,0,4766
3396,267.32,0.0,0.0,1,3,0,355
15250,294.83,0.0,0.0,1,13,0,4384
35108,284.02,0.0,0.0,90,10,0,4052
36826,268.14,0.0,0.0,5,11,0,4784
36034,271.6,0.0,0.0,90,0,0,519
28601,271.79,0.0,0.0,20,16,0,3946
28933,296.26,0.0,0.0,90,23,0,1154
28044,266.35,0.0,0.0,64,11,0,5025
38395,281.01,0.0,0.0,90,20,0,2063
17708,294.33,0.0,0.0,0,23,0,1283
27634,285.69,0.0,0.0,90,5,0,762
14579,300.15,0.0,0.0,0,10,0,4765
6006,295.15,0.0,0.0,1,15,0,4123
29911,276.79,0.0,0.0,90,22,0,2863
6688,255.23,0.0,0.0,1,9,0,5142
18740,271.22,0.0,0.0,90,23,0,1286
30551,276.31,0.0,0.0,90,19,0,2627
2451,284.81,0.0,0.0,40,11,0,4647
29523,301.79,0.0,0.0,1,16,0,6685
23303,262.09,0.0,0.0,90,15,0,4848
35778,281.82,0.0,0.0,40,0,0,561
16299,285.45,2.79,0.0,1,6,0,5884
13996,298.45,0.0,0.0,20,16,0,6440
4602,285.73,0.0,0.0,1,4,0,795
26989,249.46,0.0,0.0,40,7,0,6256
26084,291.16,0.0,0.0,1,0,0,659
26705,296.85,0.0,0.0,1,23,0,2363
40147,299.79,0.0,0.0,12,23,0,1917
33710,272.36,0.0,0.0,90,6,0,986
29705,284.81,0.0,0.0,5,21,0,2629
9066,265.28,0.0,0.0,90,21,0,2751
6068,275.2,0.0,0.0,90,13,0,5161
36712,292.37,0.0,0.0,0,1,0,406
11362,278.92,0.0,0.0,75,19,0,3209
5258,255.73,0.0,0.0,1,12,0,4373
575,260.08,0.0,0.0,90,8,0,6256
28371,297.72,0.0,0.0,1,19,0,3355
30897,294.29,0.0,0.0,48,10,0,5417
15474,280.82,0.0,0.0,75,9,0,2996
26599,293.36,0.0,0.0,90,14,0,4196
19102,273.72,0.0,0.0,90,2,0,348
7253,293.08,0.0,0.0,90,7,0,6386
13896,275.15,0.0,0.0,90,2,0,325
21336,273.42,0.0,0.0,1,7,0,3598
20293,260.92,0.0,0.0,90,12,0,3587
437,267.68,0.0,0.0,40,23,0,881
11754,281.69,0.0,0.0,75,19,0,3804
8603,286.27,0.41,0.0,36,23,0,1762
33241,283.3,0.0,0.0,90,16,0,6527
4169,291.22,0.0,0.0,48,6,0,5699
38259,280.72,0.0,0.0,90,23,0,956
28282,282.28,0.0,0.0,75,10,0,4147
39970,268.75,0.0,0.0,90,22,0,2689
4059,287.01,7.05,0.0,88,2,0,243
23839,270.49,0.0,0.0,90,4,0,508
41605,291.79,0.0,0.0,40,13,0,4737
28607,300.39,1.78,0.0,75,16,0,4259
33832,271.81,0.0,0.0,90,6,0,4477
23061,254.917,0.0,0.0,0,17,0,5806
26927,293.14,0.0,0.0,40,18,0,4394
12912,271.0,0.0,0.0,90,13,0,2205
17457,278.43,0.0,0.0,20,18,0,4694
17016,287.01,0.0,0.0,20,12,0,5198
4775,273.72,0.52,0.0,90,15,0,5454
16291,273.79,0.0,0.0,1,6,0,5790
12144,269.58,0.0,0.0,1,2,0,724
17030,270.95,0.0,0.0,1,3,0,318
17566,283.87,0.0,0.0,1,21,0,3261
24366,285.49,0.0,0.0,56,2,0,666
22190,292.43,0.0,0.0,90,2,0,250
21783,289.35,0.0,0.0,40,8,0,2609
12014,272.67,0.0,0.0,90,21,0,3761
17974,262.81,0.0,0.0,90,21,0,2145
28328,303.01,0.0,0.0,40,15,0,4306
38451,301.9,0.0,0.0,1,15,0,4968
35989,247.26,0.0,0.0,1,5,0,2610
39276,266.16,0.0,0.0,90,16,0,5441
366,290.21,0.0,0.0,75,0,0,1387
