,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
27898,None,287.97,0.0,0.0,90,Clouds,overcast clouds,11/7/2016 12:00,4364,medium
38487,None,275.75,0.0,0.0,90,Snow,light snow,10/30/2017 11:00,4569,high
23145,None,288.13,0.0,0.0,1,Clear,sky is clear,5/8/2016 22:00,1871,low
32193,None,281.62,0.0,0.0,90,Drizzle,drizzle,3/29/2017 19:00,3355,medium
23146,None,286.74,0.0,0.0,1,Clear,sky is clear,5/8/2016 23:00,1144,very low
42334,None,277.68,0.0,0.0,1,Clear,sky is clear,3/14/2018 14:00,5251,high
41910,None,279.02,0.0,0.0,1,Clear,sky is clear,2/27/2018 15:00,5755,high
19569,None,281.22,0.0,0.0,90,Mist,mist,11/18/2015 16:00,6341,very high
15593,None,297.66,0.0,0.0,40,Clouds,scattered clouds,7/18/2014 12:00,5829,very high
39697,None,266.95,0.0,0.0,5,Clear,sky is clear,12/11/2017 21:00,2028,low
10223,None,271.61,0.0,0.0,90,Clouds,overcast clouds,11/29/2013 20:00,3487,medium
43247,None,270.22,0.0,0.0,90,Haze,haze,4/14/2018 11:00,2153,low
20803,None,270.42,0.0,0.0,90,Mist,mist,1/24/2016 10:00,3093,medium
16834,None,302.09,0.0,0.0,1,Clear,sky is clear,7/24/2015 19:00,3960,medium
46638,None,292.94,0.0,0.0,1,Mist,mist,8/12/2018 1:00,868,very low
19255,None,280.55,0.0,0.0,90,Mist,mist,10/31/2015 5:00,721,very low
32367,None,280.75,0.0,0.0,40,Drizzle,light intensity drizzle,4/4/2017 3:00,438,very low
41990,None,276.01,0.0,0.0,90,Clouds,overcast clouds,3/2/2018 20:00,3551,medium
14541,None,291.11,0.0,0.0,40,Clouds,scattered clouds,5/21/2014 16:00,6701,very high
26316,None,294.43,0.0,0.0,90,Rain,light rain,9/4/2016 22:00,2083,low
1915,None,260.75,0.0,0.0,90,Snow,heavy snow,12/11/2012 8:00,5325,high
15013,None,285.77,0.25,0.0,1,Fog,fog,6/8/2014 8:00,2271,low
3156,None,254.96,0.0,0.0,1,Clear,sky is clear,1/24/2013 20:00,2843,low
26066,None,290.73,4.57,0.0,90,Drizzle,light intensity drizzle,8/27/2016 11:00,4265,medium
23422,None,290.42,0.0,0.0,20,Clouds,few clouds,5/17/2016 16:00,6360,very high
46889,None,291.48,0.0,0.0,40,Mist,mist,8/21/2018 1:00,416,very low
30022,None,258.69,0.0,0.0,75,Clouds,broken clouds,1/13/2017 18:00,4803,high
39647,None,269.37,0.0,0.0,90,Clouds,overcast clouds,12/10/2017 8:00,1869,low
28384,None,274.52,0.0,0.0,90,Snow,light snow,11/23/2016 12:00,4562,high
18474,None,291.49,0.0,0.0,75,Clouds,broken clouds,9/22/2015 4:00,864,very low
35073,None,302.09,0.0,0.0,1,Clear,sky is clear,7/4/2017 16:00,3350,medium
34176,None,279.15,0.0,0.0,1,Clear,sky is clear,6/1/2017 6:00,5953,very high
8359,None,290.55,0.0,0.0,92,Rain,moderate rain,8/12/2013 5:00,2902,low
18331,None,295.44,3.86,0.0,90,Mist,mist,9/17/2015 6:00,5023,high
31805,None,275.22,0.0,0.0,90,Rain,light rain,3/16/2017 21:00,2504,low
35557,None,300.49,0.0,0.0,75,Clouds,broken clouds,7/21/2017 17:00,5362,high
36967,None,281.14,0.0,0.0,75,Fog,fog,9/7/2017 6:00,5737,high
21275,None,261.02,0.0,0.0,90,Clouds,overcast clouds,2/14/2016 4:00,401,very low
25726,None,298.24,0.0,0.0,0,Clear,Sky is Clear,8/14/2016 12:00,4187,medium
39847,None,268.22,0.0,0.0,90,Mist,mist,12/17/2017 9:00,3246,medium
9461,None,280.19,0.0,0.0,88,Clouds,overcast clouds,10/14/2013 9:00,4899,high
17297,None,299.48,0.51,0.0,40,Rain,light rain,8/11/2015 16:00,6490,very high
31658,None,263.35,0.0,0.0,90,Clouds,overcast clouds,3/11/2017 11:00,5192,high
19837,None,277.28,0.0,0.0,90,Clouds,overcast clouds,12/5/2015 18:00,4662,high
9608,None,275.5,0.0,0.0,40,Clouds,scattered clouds,10/21/2013 18:00,4463,high
12723,None,270.3,0.0,0.0,90,Clouds,overcast clouds,3/6/2014 14:00,5602,high
29483,None,274.48,0.0,0.0,90,Snow,light snow,12/25/2016 18:00,2148,low
16481,None,294.71,0.0,0.0,1,Clear,sky is clear,7/12/2015 2:00,763,very low
22435,None,291.02,0.0,0.0,5,Clear,sky is clear,4/13/2016 15:00,6147,very high
8906,None,284.95,0.0,0.0,24,Clouds,few clouds,9/13/2013 0:00,866,very low
42774,None,271.8,0.0,0.0,90,Mist,mist,3/31/2018 0:00,963,very low
15796,None,296.49,0.38,0.0,75,Rain,proximity shower rain,7/27/2014 16:00,4468,high
7759,None,301.44,0.0,0.0,0,Clear,Sky is Clear,7/18/2013 10:00,4843,high
7385,None,300.11,0.0,0.0,1,Clear,sky is clear,7/2/2013 18:00,5000,high
3768,None,262.02,0.0,0.0,57,Clouds,broken clouds,2/21/2013 14:00,5484,high
20307,None,266.85,0.0,0.0,90,Mist,mist,12/30/2015 7:00,4806,high
5673,None,277.33,0.0,0.0,90,Drizzle,light intensity drizzle,5/2/2013 8:00,5857,very high
29261,None,250.22,0.0,0.0,5,Clear,sky is clear,12/18/2016 19:00,2502,low
15815,None,288.89,0.0,0.0,1,Clear,sky is clear,7/31/2014 4:00,984,very low
44302,None,293.95,0.0,0.0,40,Clouds,scattered clouds,5/22/2018 21:00,3047,medium
39992,None,265.84,0.0,0.0,90,Snow,light snow,12/22/2017 9:00,4515,high
42378,None,272.61,0.0,0.0,75,Clouds,broken clouds,3/16/2018 12:00,5381,high
43079,None,275.48,0.0,0.0,90,Clouds,overcast clouds,4/9/2018 15:00,5769,high
43582,None,287.75,0.0,0.0,40,Clouds,scattered clouds,4/25/2018 18:00,4695,high
20242,None,264.68,0.0,0.0,1,Clear,sky is clear,12/27/2015 11:00,3299,medium
39733,None,269.93,0.0,0.0,90,Mist,mist,12/13/2017 8:00,4696,high
9896,None,280.47,0.0,0.0,64,Mist,mist,11/16/2013 11:00,4342,medium
43402,None,273.46,0.0,0.0,90,Clouds,overcast clouds,4/18/2018 9:00,5378,high
42379,None,273.84,0.0,0.0,1,Clear,sky is clear,3/16/2018 13:00,5398,high
5887,None,295.91,0.0,0.0,90,Drizzle,light intensity drizzle,5/9/2013 16:00,6750,very high
37410,None,293.31,0.0,0.0,20,Mist,mist,9/24/2017 7:00,1457,low
7481,None,300.84,0.0,0.0,36,Clouds,scattered clouds,7/6/2013 21:00,2811,low
40732,None,256.58,0.0,0.0,1,Clear,sky is clear,1/17/2018 7:00,5684,high
31648,None,261.22,0.0,0.0,1,Clear,sky is clear,3/11/2017 1:00,1107,very low
13628,None,278.34,0.0,0.0,90,Clouds,overcast clouds,4/13/2014 9:00,2628,low
40670,None,258.74,0.0,0.0,90,Snow,light snow,1/15/2018 6:00,3637,medium
23314,None,278.07,1.69,0.0,90,Drizzle,light intensity drizzle,5/13/2016 8:00,5340,high
45438,None,300.48,0.0,0.0,1,Clear,sky is clear,6/30/2018 5:00,822,very low
24070,None,298.18,0.0,0.0,0,Clear,Sky is Clear,6/9/2016 20:00,3306,medium
19577,None,276.49,0.0,0.0,90,Rain,light rain,11/19/2015 0:00,538,very low
12008,None,259.1,0.0,0.0,90,Clouds,overcast clouds,2/4/2014 17:00,6120,very high
44171,None,302.08,0.0,0.0,40,Clouds,scattered clouds,5/17/2018 17:00,6171,very high
29137,None,255.28,0.0,0.0,1,Clear,sky is clear,12/14/2016 20:00,2664,low
32298,None,284.82,0.0,0.0,90,Rain,light rain,4/2/2017 16:00,4478,high
17319,None,301.09,0.0,0.0,1,Clear,sky is clear,8/12/2015 14:00,5388,high
17962,None,298.27,0.0,0.0,20,Clouds,few clouds,9/4/2015 10:00,5025,high
421,None,281.0,0.0,0.0,90,Clouds,overcast clouds,10/19/2012 12:00,4489,high
8738,None,299.58,0.0,0.0,0,Clear,Sky is Clear,8/30/2013 22:00,2546,low
2564,None,262.4,0.0,0.0,40,Snow,heavy snow,1/1/2013 5:00,419,very low
11475,None,264.15,0.0,0.0,75,Clouds,broken clouds,1/14/2014 17:00,5693,high
13526,None,273.56,0.0,0.0,20,Clouds,few clouds,4/9/2014 3:00,375,very low
6808,None,288.12,0.0,0.0,88,Clouds,overcast clouds,6/8/2013 22:00,3254,medium
8683,None,302.76,0.0,0.0,0,Clear,Sky is Clear,8/27/2013 21:00,2787,low
44361,None,293.89,0.0,0.0,40,Rain,light rain,5/25/2018 0:00,648,very low
22903,None,274.88,0.0,0.0,90,Fog,fog,4/29/2016 6:00,5813,high
17708,None,284.54,0.0,0.0,1,Clear,sky is clear,8/25/2015 6:00,5801,high
41461,None,257.74,0.0,0.0,1,Clear,sky is clear,2/13/2018 1:00,300,very low
33175,None,284.48,0.0,0.0,90,Clouds,overcast clouds,4/29/2017 14:00,5235,high
43516,None,278.91,0.0,0.0,1,Clear,sky is clear,4/23/2018 0:00,614,very low
22825,None,278.75,0.0,0.0,90,Mist,mist,4/26/2016 9:00,5321,high
2861,None,275.66,0.0,0.0,90,Fog,fog,1/12/2013 12:00,4538,high
24184,None,294.43,0.0,0.0,92,Rain,moderate rain,6/14/2016 14:00,5079,high
41173,None,253.07,0.0,0.0,20,Clouds,few clouds,2/2/2018 10:00,4379,high
20113,None,276.43,0.0,0.0,90,Clouds,overcast clouds,12/20/2015 16:00,4205,medium
19350,None,280.69,0.0,0.0,90,Clouds,overcast clouds,11/6/2015 12:00,5475,high
18784,None,282.18,0.0,0.0,40,Clouds,scattered clouds,10/5/2015 0:00,474,very low
33848,None,281.28,0.0,0.0,90,Mist,mist,5/20/2017 19:00,3446,medium
6349,None,283.43,0.0,0.0,90,Drizzle,light intensity drizzle,5/23/2013 20:00,2531,low
48201,None,282.73,0.0,0.0,90,Thunderstorm,proximity thunderstorm,9/30/2018 21:00,2159,low
20255,None,261.06,0.0,0.0,1,Clear,sky is clear,12/28/2015 4:00,718,very low
4339,None,270.88,0.0,0.0,90,Mist,mist,3/16/2013 21:00,3620,medium
33995,None,285.16,0.0,0.0,40,Clouds,scattered clouds,5/25/2017 1:00,425,very low
43671,None,286.68,0.0,0.0,5,Clear,sky is clear,4/29/2018 11:00,4381,high
42301,None,268.94,0.0,0.0,1,Clear,sky is clear,3/13/2018 5:00,2872,low
21905,None,272.44,0.0,0.0,90,Mist,mist,3/18/2016 23:00,1774,low
19214,None,275.08,0.0,0.0,90,Snow,light snow,10/29/2015 1:00,317,very low
41354,None,263.48,0.0,0.0,75,Clouds,broken clouds,2/8/2018 15:00,5852,very high
32464,None,280.84,0.0,0.0,1,Clear,sky is clear,4/8/2017 5:00,833,very low
37096,None,287.28,0.0,0.0,40,Mist,mist,9/12/2017 7:00,6353,very high
24730,None,300.76,0.0,0.0,40,Clouds,scattered clouds,7/6/2016 13:00,4277,medium
1540,None,270.23,0.0,0.0,1,Clear,sky is clear,11/28/2012 20:00,2691,low
18942,None,295.85,0.0,0.0,1,Clear,sky is clear,10/11/2015 20:00,2446,low
3662,None,264.76,0.0,0.0,1,Clear,sky is clear,2/16/2013 15:00,4726,high
24691,None,299.13,0.0,0.0,75,Rain,light rain,7/5/2016 11:00,3720,medium
7554,None,302.9,0.0,0.0,12,Clouds,few clouds,7/9/2013 18:00,4571,high
40746,None,270.01,0.0,0.0,5,Clear,sky is clear,1/17/2018 21:00,2278,low
7602,None,299.5,0.0,0.0,0,Clear,Sky is Clear,7/11/2013 16:00,6414,very high
40729,None,254.89,0.0,0.0,1,Clear,sky is clear,1/17/2018 4:00,882,very low
9755,None,276.7,0.0,0.0,64,Clouds,broken clouds,11/10/2013 11:00,3407,medium
22007,None,273.48,0.0,0.0,40,Clouds,scattered clouds,3/24/2016 10:00,4428,high
34846,None,284.84,0.0,0.0,5,Clear,sky is clear,6/26/2017 8:00,5612,high
46451,None,294.79,0.0,0.0,1,Mist,mist,8/5/2018 8:00,1903,low
6470,None,288.51,0.0,0.0,75,Clouds,broken clouds,5/28/2013 16:00,6658,very high
1525,None,265.25,0.0,0.0,75,Clouds,broken clouds,11/28/2012 5:00,2638,low
1834,None,272.14,0.0,0.0,90,Clouds,overcast clouds,12/9/2012 20:00,1031,very low
46700,None,295.48,0.0,0.0,1,Clear,sky is clear,8/14/2018 8:00,5841,very high
12196,None,268.55,0.32,0.0,90,Rain,light rain,2/12/2014 13:00,4692,high
41833,None,269.82,0.0,0.0,90,Mist,mist,2/25/2018 0:00,779,very low
22009,None,276.47,0.0,0.0,1,Clear,sky is clear,3/24/2016 13:00,5201,high
5454,None,273.26,0.0,0.0,90,Mist,mist,4/23/2013 22:00,2846,low
21590,None,270.42,0.0,0.0,90,Clouds,overcast clouds,3/3/2016 1:00,364,very low
48052,None,287.02,0.25,0.0,90,Mist,mist,9/25/2018 1:00,302,very low
47443,None,291.95,0.29,0.0,75,Rain,moderate rain,9/5/2018 5:00,3013,medium
28051,None,282.97,0.0,0.0,1,Clear,sky is clear,11/13/2016 20:00,2117,low
28178,None,280.43,0.0,0.0,90,Drizzle,drizzle,11/18/2016 6:00,5506,high
8900,None,288.12,0.0,0.0,1,Clear,sky is clear,9/12/2013 2:00,282,very low
44058,None,295.32,0.0,0.0,40,Clouds,scattered clouds,5/13/2018 19:00,3256,medium
39213,None,280.88,0.0,0.0,1,Clear,sky is clear,11/24/2017 9:00,2909,low
23826,None,291.52,0.0,0.0,90,Rain,light rain,5/31/2016 10:00,4368,medium
22162,None,277.79,0.0,0.0,90,Drizzle,drizzle,3/31/2016 10:00,4733,high
4539,None,271.52,0.0,0.0,90,Snow,heavy snow,3/25/2013 22:00,1556,low
18694,None,290.05,0.0,0.0,1,Clear,sky is clear,9/30/2015 17:00,6224,very high
32939,None,277.83,0.0,0.0,1,Clear,sky is clear,4/22/2017 2:00,698,very low
7435,None,294.4,0.0,0.0,1,Clear,sky is clear,7/4/2013 21:00,2201,low
29127,None,257.55,0.0,0.0,1,Haze,haze,12/14/2016 12:00,4944,high
12836,None,275.96,0.51,0.0,90,Rain,light rain,3/11/2014 8:00,5297,high
40825,None,274.22,0.0,0.0,40,Mist,mist,1/21/2018 1:00,1254,very low
10111,None,271.83,0.0,0.0,1,Clear,sky is clear,11/24/2013 20:00,2658,low
20937,None,271.51,0.0,0.0,1,Mist,mist,1/31/2016 8:00,2231,low
14857,None,293.51,0.0,0.0,0,Clear,Sky is Clear,6/2/2014 20:00,2802,low
27429,None,283.628,0.0,0.0,0,Clear,Sky is Clear,10/18/2016 20:00,2671,low
46853,None,293.95,0.0,0.0,75,Haze,haze,8/20/2018 5:00,3005,medium
3900,None,266.03,0.0,0.0,90,Mist,mist,2/25/2013 23:00,910,very low
21715,None,272.72,0.0,0.0,1,Mist,mist,3/11/2016 7:00,6690,very high
8183,None,297.38,0.0,0.0,44,Clouds,scattered clouds,8/4/2013 16:00,4392,high
443,None,280.62,0.0,0.0,96,Mist,mist,10/20/2012 3:00,432,very low
30161,None,271.72,0.0,0.0,40,Mist,mist,1/17/2017 22:00,2885,low
1751,None,269.34,0.0,0.0,75,Clouds,broken clouds,12/6/2012 10:00,4540,high
12191,None,264.01,0.76,0.0,90,Rain,light rain,2/12/2014 8:00,5552,high
41730,None,270.02,0.0,0.0,90,Snow,snow,2/22/2018 20:00,2736,low
3984,None,271.28,0.0,0.0,90,Clouds,overcast clouds,3/1/2013 2:00,345,very low
35679,None,296.61,0.0,0.0,40,Rain,moderate rain,7/26/2017 2:00,296,very low
5758,None,275.36,0.0,0.0,90,Rain,light rain,5/4/2013 18:00,4431,high
30323,None,274.87,0.0,0.0,90,Mist,mist,1/21/2017 8:00,2946,medium
39075,None,274.55,0.0,0.0,40,Clouds,scattered clouds,11/18/2017 15:00,4754,high
33900,None,282.75,0.0,0.0,90,Mist,mist,5/21/2017 14:00,4331,medium
47192,None,284.8,0.25,0.0,90,Rain,light rain,8/29/2018 8:00,6164,very high
23040,None,283.23,0.0,0.0,40,Haze,haze,5/4/2016 22:00,1791,low
6981,None,297.25,0.0,0.0,0,Clear,Sky is Clear,6/14/2013 14:00,5651,high
27746,None,283.585,0.0,0.0,0,Clear,Sky is Clear,11/1/2016 10:00,4293,medium
4296,None,268.64,0.0,0.0,40,Clouds,scattered clouds,3/15/2013 0:00,786,very low
6702,None,286.48,0.25,0.0,90,Rain,moderate rain,6/5/2013 21:00,2615,low
33448,None,283.75,0.0,0.0,1,Clear,sky is clear,5/8/2017 9:00,4713,high
35510,None,292.23,0.0,0.0,1,Mist,mist,7/20/2017 6:00,5862,very high
4600,None,276.78,0.0,0.0,1,Clear,sky is clear,3/28/2013 12:00,5024,high
34460,None,291.09,0.0,0.0,90,Mist,mist,6/12/2017 4:00,880,very low
21418,None,273.68,0.0,0.0,90,Snow,light snow,2/21/2016 12:00,5427,high
20434,None,270.85,0.0,0.0,90,Clouds,overcast clouds,1/6/2016 2:00,426,very low
13659,None,275.07,0.0,0.0,75,Clouds,broken clouds,4/14/2014 16:00,6353,very high
15553,None,294.84,0.0,0.0,75,Clouds,broken clouds,7/16/2014 20:00,3217,medium
29124,None,257.29,0.0,0.0,75,Snow,light snow,12/14/2016 11:00,4929,high
34418,None,294.61,0.0,0.0,1,Clear,sky is clear,6/11/2017 5:00,537,very low
29833,None,254.22,0.0,0.0,1,Clear,sky is clear,1/7/2017 4:00,664,very low
36482,None,296.3,0.0,0.0,75,Clouds,broken clouds,8/21/2017 11:00,4509,high
18515,None,292.25,0.25,0.0,90,Rain,light rain,9/23/2015 19:00,3368,medium
23842,None,289.48,0.0,0.0,20,Clouds,few clouds,6/1/2016 1:00,441,very low
25096,None,303.608,0.0,0.0,44,Clouds,scattered clouds,7/20/2016 22:00,1883,low
46746,None,291.88,0.0,0.0,1,Mist,mist,8/16/2018 6:00,5386,high
45083,None,292.88,0.0,0.0,90,Rain,moderate rain,6/18/2018 9:00,4767,high
29754,None,252.72,0.0,0.0,1,Clear,sky is clear,1/4/2017 7:00,5405,high
16272,None,292.6,0.3,0.0,1,Haze,haze,7/5/2015 3:00,338,very low
3461,None,267.65,0.0,0.0,40,Clouds,scattered clouds,2/9/2013 18:00,3972,medium
28023,None,285.02,0.0,0.0,1,Clear,sky is clear,11/12/2016 16:00,4321,medium
